CLH,"Clean Harbors, Inc.",Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/clh,NYSE
MTZ,"MasTec, Inc.",Basic Industries,Water Supply,https://www.nasdaq.com/symbol/mtz,NYSE
VVV,Valvoline Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/vvv,NYSE
TRQ,Turquoise Hill Resources Ltd.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/trq,NYSE
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati,NYSE
UFS,Domtar Corporation,Basic Industries,Paper,https://www.nasdaq.com/symbol/ufs,NYSE
BCPC,Balchem Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/bcpc,NASDAQ
GFI,Gold Fields Limited,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gfi,NYSE
ROG,Rogers Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/rog,NYSE
LPX,Louisiana-Pacific Corporation,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/lpx,NYSE
CLF,Cleveland-Cliffs Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/clf,NYSE
SXT,Sensient Technologies Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/sxt,NYSE
X,United States Steel Corporation,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/x,NYSE
KBR,"KBR, Inc.",Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/kbr,NYSE
KWR,Quaker Chemical Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kwr,NYSE
CBT,Cabot Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/cbt,NYSE
ESI,Element Solutions Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/esi,NYSE
BBU,Brookfield Business Partners L.P.,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/bbu,NYSE
FUL,H. B. Fuller Company,Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/ful,NYSE
BLD,TopBuild Corp.,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/bld,NYSE
AUY,Yamana Gold Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/auy,NYSE
POL,PolyOne Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pol,NYSE
CRS,Carpenter Technology Corporation,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/crs,NYSE
AIN,Albany International Corporation,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain,NYSE
BDC,Belden Inc,Basic Industries,Telecommunications Equipment,https://www.nasdaq.com/symbol/bdc,NYSE
CVA,Covanta Holding Corporation,Basic Industries,Electric Utilities: Central,https://www.nasdaq.com/symbol/cva,NYSE
WDFC,WD-40 Company,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/wdfc,NASDAQ
PQG,PQ Group Holdings Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pqg,NYSE
MTX,Minerals Technologies Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/mtx,NYSE
SBGL,Sibanye Gold Limited,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/sbgl,NYSE
GCP,GCP Applied Technologies Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gcp,NYSE
IOSP,Innospec Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/iosp,NASDAQ
OSB,Norbord Inc.,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/osb,NYSE
GVA,Granite Construction Incorporated,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/gva,NYSE
CMC,Commercial Metals Company,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/cmc,NYSE
PAAS,Pan American Silver Corp.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/paas,NASDAQ
SCL,Stepan Company,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/scl,NYSE
HBM,Hudbay Minerals Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/hbm,NYSE
JELD,"JELD-WEN Holding, Inc.",Basic Industries,Forest Products,https://www.nasdaq.com/symbol/jeld,NYSE
UFPI,"Universal Forest Products, Inc.",Basic Industries,Forest Products,https://www.nasdaq.com/symbol/ufpi,NASDAQ
CMP,"Compass Minerals International, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/cmp,NYSE
